ID,Titre,Catégorie,Précisions,,,
753,J.J. Winckelmann. De la description,124, 6=Macula, 13=Français,,
754,Couleurs de guerre. Autochromes 1914-1918 Reims & la Marne,150, 6=Editions du Patrimoine, 12=Broché, 13=Français,
755,Germaine Richier. Un art entre deux mondes,180, 6=Norma Editions, 12=Broché, 13=Français,
758,Le Musee Granet Aix-en-provence ,146, 6=RMN, 12=Broché, 13=Français,
759,Le Cube et le visage autour d'une sculpture d'Alberto Giacometti ,137, 6=Macula, 12=Broché, 13=Français,
762,Nord terre de création. Collections des musées du Nord Pas de Calais,216, 6=Musée des Beaux, 12=Broché, 13=Français,
765,Winslow Homer. Poète des flots,125, 6=Le Passage, 12=Broché, 13=Français, 28=Oui
5666,Jongkind - Aquarelles,126, 12=Ouvrage broché, 13=Français,,
767,Herman Van Der Hem (1619-1649) - 2 Volumes,133, 12=Broché, 13=Français,,
771,Bibliographie analytique des expositions industrielles et commerciales en France depuis l'origine jusqu'à 1867,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
772,Les catalogues des Salons. Tome X (1872-1874),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
773,Les catalogues des Salons. Tome XI (1875-1877),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
774,Les catalogues des Salons. Tome XII (1878-1880),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
780,Les Maîtres du Nord. Peintures flamandes hollandaises et allemandes du Musée Calvet Avignon,146, 6=RMN, 12=Broché, 13=Français,
5860,Catalogue d'exposition Shakespeare l'étoffe du monde,216, 12=Ouvrage  relié,,,
787,Le dessin pour les nuls,122, 6=First, 12=Broché, 13=Français,
789,Prenez soin de vous,144, 6=Actes Sud, 12=Relié, 13=Français, 28=Oui
792,Les passions de l'âme. Peintures des XVIIe et XVIIIe siècles de la collection Changeux,165, 6=Odile Jacob, 12=Broché, 13=Français,
794,Les Nymphéas,146, 6=Gallimard, 12=Broché, 13=Français,
796,La Collection Jean Walter et Paul Guillaume,146, 6=Gallimard, 12=Broché, 13=Français,
797,Thermes et hôtel de Cluny musée national du Moyen Age. Oeuvres nouvelles 1995-2005,128, 6=RMN, 12=Broché, 13=Français,
798,Collection sur Henri Matisse les Nus bleus. Coffret prestige,141, 6=Bernard Chauveau, 12=Luxe, 13=Français,
799,Collection des gouaches découpées de la chapelle de Vence,142, 6=Bernard Chauveau, 12=Luxe, 13=Français,
801,Souvenirs par Elisabeth Vigée Le Brun,129, 6=des Femmes, 12=Broché, 13=Français,
802,Le mobilier français du musée Jacquemart-André,135, 6=Faton, 12=Relié, 13=Français,
804,La vie et l'oeuvre du sculpteur Edouard Houssin (1847-1919). Catalogue raisonné,118, 6=Mare et Martin, 12=Broché, 13=Français,
815,Monumental. Annuel 2000,140, 6=Patrimoine, 12=Broché, 13=Français,
816,Monumental. Annuel 2001,140, 6=Patrimoine, 12=Broché, 13=Français,
817,Monumental. Annuel 2002,140, 6=Patrimoine, 12=Broché, 13=Français,
818,Monumental. Annuel 2003,140, 6=Patrimoine, 12=Broché, 13=Français,
820,Monumental 2004 - Semestriel 2,140, 6=Patrimoine, 12=Broché, 13=Français,
821,Monumental 2005 - Semestriel 1,140, 6=Patrimoine, 12=Broché, 13=Français,
822,Monumental 2005 - Semestriel 2,140, 6=Patrimoine, 12=Broché, 13=Français,
827,Du Symbolisme à l'Expressionnisme Willumsen (1863-1958) un artiste danois,141, 6=RMN, 12=Broché, 13=Français,
829,Arts premiers. Indiens Eskimos et Aborigènes,149, 6=Assouline, 12=Broché, 13=Français,
